#pixelIndex	x	y	bupId	age	sex	instigator
455	55	4	12021	23	1	1
456	56	4	2879	23	1	1
457	57	4	5542	23	1	1
458	58	4	4590	23	1	1
459	59	4	2940	23	1	1
460	60	4	5448	23	1	1
461	61	4	9791	23	1	1
462	62	4	2438	23	1	1
463	63	4	2439	23	1	1
464	64	4	4980	23	1	0
465	65	4	4535	23	1	0
466	66	4	3240	23	1	0
467	67	4	4697	23	1	0
468	68	4	2847	23	1	0
469	69	4	4009	23	1	0
470	70	4	9151	23	1	0
471	71	4	17986	23	1	0
472	72	4	3883	23	1	0
473	73	4	15114	23	1	0
474	74	4	15179	23	1	0
475	75	4	4984	23	1	0
476	76	4	3322	23	1	0
477	77	4	3413	23	1	0
478	78	4	2425	23	1	0
479	79	4	2596	23	0	3
480	80	4	5747	23	0	3
481	81	4	4109	23	0	2
482	82	4	191	23	0	2
483	83	4	4850	23	0	2
484	84	4	5620	23	0	2
485	85	4	15334	23	0	2
486	86	4	5650	23	0	2
487	87	4	5917	23	0	1
488	88	4	3954	23	0	1
489	89	4	4606	23	0	1
490	90	4	4087	23	0	1
491	91	4	5612	23	0	0
492	92	4	5748	23	0	0
493	93	4	2543	23	0	0
494	94	4	4865	23	0	0
495	95	4	4350	23	0	0
496	96	4	8941	23	0	0
497	97	4	4376	23	0	0
498	98	4	3994	23	0	0
499	99	4	2745	23	0	2
500	0	5	393	23	2	2
501	1	5	2951	23	2	2
502	2	5	1720	23	2	2
503	3	5	2710	23	2	2
504	4	5	480	22	2	2
505	5	5	4001	22	2	2
506	6	5	3124	22	2	2
507	7	5	4262	23	2	1
508	8	5	3421	23	2	1
509	9	5	5820	22	2	1
510	10	5	15014	22	2	1
511	11	5	3455	22	2	1
512	12	5	4799	22	2	1
513	13	5	1044	22	2	1
514	14	5	12477	23	2	0
515	15	5	11769	23	2	0
516	16	5	2379	23	2	0
517	17	5	18565	23	2	0
518	18	5	13057	22	2	0
519	19	5	9635	22	2	0
520	20	5	3309	22	2	0
521	21	5	3646	22	2	0
522	22	5	15520	22	2	0
523	23	5	2781	22	2	0
524	24	5	16372	22	2	0
525	25	5	10890	22	2	0
526	26	5	18008	23	1	2
527	27	5	3927	23	1	2
528	28	5	3422	23	1	2
529	29	5	2594	23	1	2
530	30	5	11813	23	1	2
531	31	5	2989	23	1	2
532	32	5	5148	23	1	2
533	33	5	12268	23	1	2
534	34	5	13525	23	1	2
535	35	5	5740	22	1	2
536	36	5	2793	22	1	2
537	37	5	5642	22	1	2
538	38	5	4332	22	1	2
539	39	5	4847	22	1	2
540	40	5	123	22	1	2
541	41	5	4411	22	1	2
542	42	5	4412	22	1	2
543	43	5	142	22	1	2
544	44	5	4420	22	1	2
545	45	5	4346	22	1	2
546	46	5	6217	22	1	2
547	47	5	6216	22	1	2
548	48	5	3772	22	1	2
549	49	5	17256	22	1	2
550	50	5	4528	23	1	1
551	51	5	1032	23	1	1
552	52	5	3963	23	1	1
553	53	5	4943	23	1	1
554	54	5	4474	23	1	1
555	55	5	4672	23	1	1
556	56	5	932	23	1	1
557	57	5	7366	23	1	1
558	58	5	2544	24	1	1
559	59	5	3140	22	1	1
560	60	5	12530	22	1	1
561	61	5	3966	22	1	1
562	62	5	4495	22	1	1
563	63	5	4797	23	1	0
564	64	5	2497	23	1	0
565	65	5	13387	23	1	0
566	66	5	3999	23	1	0
567	67	5	10925	23	1	0
568	68	5	10477	23	1	0
569	69	5	11005	22	1	0
570	70	5	12342	22	1	0
571	71	5	2333	22	1	0
572	72	5	5420	22	1	0
573	73	5	9783	22	1	0
574	74	5	3701	22	1	0
575	75	5	5511	22	1	0
576	76	5	2575	22	1	0
577	77	5	4646	22	1	0
578	78	5	9828	22	1	0
579	79	5	11371	22	1	0
580	80	5	11720	22	1	0
581	81	5	2754	22	1	0
582	82	5	6993	22	1	0
583	83	5	14682	22	1	0
584	84	5	5195	23	0	2
585	85	5	6130	22	0	2
586	86	5	2275	22	0	2
587	87	5	3136	22	0	2
588	88	5	3135	22	0	2
589	89	5	5294	22	0	1
590	90	5	2866	22	0	1
591	91	5	3032	23	0	0
592	92	5	5137	23	0	0
593	93	5	2872	23	0	0
594	94	5	3702	22	0	0
595	95	5	5072	22	0	0
596	96	5	5485	22	0	0
597	97	5	2697	22	0	0
598	98	5	5071	22	0	0
599	99	5	3920	22	0	1
600	0	6	5989	22	2	2
601	1	6	5689	22	2	2
602	2	6	14962	22	2	2
603	3	6	5657	22	2	2
604	4	6	16285	22	2	2
605	5	6	590	22	2	2
606	6	6	1971	22	2	2
607	7	6	19747	22	2	1
608	8	6	9348	22	2	1
609	9	6	17630	22	2	0
610	10	6	13348	22	2	0
611	11	6	3347	22	2	0
612	12	6	17326	22	2	0
613	13	6	7263	22	2	0
614	14	6	17720	22	2	0
615	15	6	3039	22	2	0
616	16	6	13040	22	2	0
617	17	6	12448	22	2	0
618	18	6	5803	22	1	3
619	19	6	12074	22	1	3
620	20	6	2653	22	1	3
621	21	6	2390	22	1	2
622	22	6	691	22	1	2
623	23	6	6265	22	1	2
624	24	6	4131	22	1	2
625	25	6	5112	22	1	2
626	26	6	825	22	1	2
627	27	6	5648	22	1	2
628	28	6	119	22	1	2
629	29	6	5484	22	1	2
630	30	6	6653	22	1	2
631	31	6	3254	22	1	2
632	32	6	2337	22	1	2
633	33	6	2966	22	1	2
634	34	6	2988	22	1	2
635	35	6	5487	22	1	2
636	36	6	2531	22	1	2
637	37	6	3291	22	1	2
638	38	6	6825	22	1	2
639	39	6	8054	22	1	2
640	40	6	13418	22	1	2
641	41	6	15689	22	1	2
642	42	6	13421	22	1	2
643	43	6	888	22	1	2
644	44	6	546	22	1	2
645	45	6	4070	22	1	1
646	46	6	1620	22	1	1
647	47	6	11596	22	1	1
648	48	6	3436	22	1	1
649	49	6	17204	22	1	1
650	50	6	18887	22	1	1
651	51	6	4885	22	1	1
652	52	6	11627	22	1	1
653	53	6	4160	22	1	1
654	54	6	3867	22	1	1
655	55	6	3711	22	1	1
656	56	6	3712	22	1	1
657	57	6	11914	22	1	1
658	58	6	13792	22	1	0
659	59	6	13023	22	1	0
660	60	6	8989	22	1	0
661	61	6	17024	22	1	0
662	62	6	5429	22	1	0
663	63	6	3869	22	1	0
664	64	6	12356	22	1	0
665	65	6	12357	22	1	0
666	66	6	2564	22	1	0
667	67	6	2970	22	1	0
668	68	6	4773	22	1	0
669	69	6	4774	22	1	0
670	70	6	6684	22	1	0
671	71	6	4488	22	1	0
672	72	6	5736	22	1	0
673	73	6	6196	22	1	0
674	74	6	15163	22	1	0
675	75	6	9329	22	1	0
676	76	6	9784	22	1	0
677	77	6	3437	22	0	3
678	78	6	5052	22	0	3
679	79	6	5053	22	0	3
680	80	6	2572	22	0	2
681	81	6	4153	22	0	2
682	82	6	4908	22	0	2
683	83	6	3185	22	0	2
684	84	6	2503	22	0	2
685	85	6	4418	22	0	2
686	86	6	2965	22	0	2
687	87	6	5663	22	0	2
688	88	6	2865	22	0	1
689	89	6	3588	22	0	1
690	90	6	4738	22	0	1
691	91	6	5077	22	0	1
692	92	6	5501	22	0	0
693	93	6	14647	22	0	0
694	94	6	5975	22	0	0
695	95	6	5976	22	0	0
696	96	6	4853	22	0	0
697	97	6	4237	22	0	0
698	98	6	2620	22	0	0
699	99	6	4181	22	0	1
700	0	7	9457	21	2	3
701	1	7	608	22	2	2
702	2	7	3424	22	2	2
703	3	7	17657	22	2	2
704	4	7	4940	22	2	2
705	5	7	2394	21	2	2
706	6	7	6101	21	2	2
707	7	7	14033	22	2	1
708	8	7	9331	22	2	1
709	9	7	6418	22	2	1
710	10	7	2102	23	2	1
711	11	7	1741	22	2	1
712	12	7	17289	22	2	0
713	13	7	3489	22	2	0
714	14	7	3227	22	2	0
715	15	7	18326	22	2	0
716	16	7	5710	22	2	0
717	17	7	1686	22	2	0
718	18	7	8954	22	2	0
719	19	7	19034	22	2	0
720	20	7	5869	21	2	0
721	21	7	3759	21	2	0
722	22	7	3294	21	2	0
723	23	7	2475	22	1	3
724	24	7	6495	21	1	3
725	25	7	14661	21	1	3
726	26	7	4607	22	1	2
727	27	7	2419	22	1	2
728	28	7	5216	22	1	2
729	29	7	20027	22	1	2
730	30	7	5019	22	1	2
731	31	7	16607	22	1	2
732	32	7	5598	22	1	2
733	33	7	14434	22	1	2
734	34	7	2507	22	1	2
735	35	7	3123	22	1	2
736	36	7	5029	21	1	2
737	37	7	2840	21	1	2
